Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Jamie Soule,32,West-Bromwich-Albion,Forward,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Johnstone,1,West-Bromwich-Albion,Goalkeeper,England,27,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25.5,0,0,0,0,0,16,8,6,3,0,0,0,0,0,0,11,14,0,0,0,0
David Button,25,West-Bromwich-Albion,Goalkeeper,England,31,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,24.75,0,0,0,0,0,27,6.75,14,3.5,0,0,2,2,1,1,9,34,0,0,0,0
Jonathan Bond,23,West-Bromwich-Albion,Goalkeeper,England,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Livermore,8,West-Bromwich-Albion,Midfielder,England,30,180,52,87,7,0.04,0,6,1,0,0,129,32,25%,7,1,0.01,0,0,0,363,70%,0,41,227,164,62,0,903,633,665,81,0.45,108,140,0,0,9,0.05,6813,37.85,11,0.06,56,18%,20,482,2.68,0,0,0,0,0,0,0,0,0,0,30,1,199,3
Matt Phillips,10,West-Bromwich-Albion,Midfielder,Scotland,29,110,28,55,10,0.09,2,6,2,0,0,150,39,26%,2,8,0.07,0,0,0,100,65%,0,40,70,83,32,0,408,435,648,175,1.59,114,171,0,0,22,0.2,1831,16.65,23,0.21,536,23%,9,60,0.55,0,0,0,0,0,0,0,0,0,0,6,0,57,20
Kamil Grosicki,13,West-Bromwich-Albion,Midfielder,Poland,32,15,4,7,0,15,0,0,0,0,0,24,7,29%,1,1,0.07,0,0,0,4,100%,0,4,8,6,3,0,36,21,59,13,0.87,1,11,0,0,4,0.27,251,16.73,5,0.33,84,20%,0,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0,12,6
Rekeem Harper,16,West-Bromwich-Albion,Midfielder,England,20,2,1,1,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,100%,0,0,1,0,0,0,2,2,2,1,0.5,0,0,0,0,0,0,18,9,0,0,0,0%,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Romaine Sawyers,19,West-Bromwich-Albion,Midfielder,Saint Kitts And Nevis,28,2,0,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,2,2%,0,0,2,1,1,0,9,6,9,0,0,2,0,0,0,0,0,63,31.5,0,0,0,0%,0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sam Field,28,West-Bromwich-Albion,Midfielder,England,22,20,5,9,1,0.05,0,0,1,0,0,6,1,17%,0,0,0,0,0,0,21,86%,0,4,15,9,7,0,56,47,55,4,0.2,12,14,0,0,0,0,275,13.75,0,0,15,20%,0,17,0.85,0,0,0,0,0,0,0,0,0,0,5,0,16,0
Kyle Edwards,21,West-Bromwich-Albion,Midfielder,England,22,2,0,2,0,2,0,0,0,0,0,1,0,1%,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grady Diangana,11,West-Bromwich-Albion,Midfielder,England,22,19,7,10,1,0.05,0,0,1,0,0,13,5,38%,0,0,0,0,0,0,23,48%,0,3,4,5,3,0,49,72,85,25,1.32,9,22,0,0,1,0.05,298,15.68,3,0.16,14,29%,0,4,0.21,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Conor Gallagher,18,West-Bromwich-Albion,Midfielder,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,3,West-Ham-United,Defender,England,30,190,61,75,8,0,0,1,7,0,0,0,0,0,5,0,0,40,273,1.44,212,62%,1,28,230,515,256,5,855,645,584,60,0.32,260,208,0,6,18,0.09,6957,36.62,27,0.14,752,21%,6,506,2.66,0,0,0,0,0,0,0,0,0,0,23,1,88,18
Fabián Balbuena,4,West-Ham-United,Defender,Paraguay,29,40,15,19,2,0,0,2,0,0,0,0,0,0,1,0,0,8,56,1.4,57,56%,1,5,79,243,125,0,167,188,165,3,0.08,124,99,0,2,0,0,1335,33.38,1,0.03,2,2%,2,86,2.15,0,0,0,0,0,0,0,0,0,0,4,0,25,0
Gonçalo Cardoso,29,West-Ham-United,Defender,Portugal,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Ogbonna,21,West-Ham-United,Defender,Italy,32,137,47,53,4,0,2,0,1,0,0,0,0,0,1,0,0,28,207,1.51,171,68%,1,10,208,689,367,0,585,626,377,27,0.2,373,227,1,2,1,0.01,4633,33.82,2,0.01,9,56%,3,342,2.5,0,0,0,0,0,0,0,0,0,0,16,0,88,1
Issa Diop,23,West-Ham-United,Defender,France,23,67,23,29,4,0,3,1,0,0,0,0,0,0,0,0,0,11,101,1.51,97,56%,1,2,114,326,157,0,330,291,176,11,0.16,157,90,1,2,1,0.01,2212,33.01,3,0.04,1,1%,0,107,1.6,0,0,0,0,0,0,0,0,0,0,12,0,49,4
Ryan Fredericks,24,West-Ham-United,Defender,England,27,44,13,22,1,0,0,1,0,0,0,0,0,0,0,0,0,9,59,1.34,122,66%,1,4,41,109,54,2,170,234,169,23,0.52,59,52,0,1,4,0.09,1358,30.86,5,0.11,89,25%,0,47,1.07,0,0,0,0,0,0,0,0,0,0,14,0,38,2
Arthur Masuaku,26,West-Ham-United,Defender,The Democratic Republic Of Congo,26,81,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,12,102,1.26,196,59%,0,5,102,140,69,0,458,506,419,180,2.22,74,70,0,0,6,0.07,2578,31.83,7,0.09,197,16%,4,128,1.58,0,0,0,0,0,0,0,0,0,0,12,1,72,2
Ben Johnson,31,West-Ham-United,Defender,England,20,4,1,1,0,4,0,0,0,0,0,1,0,1%,0,0,0,0,0,0,9,44%,0,0,4,13,3,0,13,18,20,1,0.25,7,5,0,0,0,0,135,33.75,0,0,11,18%,0,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Ajibola Alese,42,West-Ham-United,Defender,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby,50,West-Ham-United,Defender,Scotland,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,30,West-Ham-United,Forward,England,30,135,46,56,37,0.27,18,15,5,1,0,307,117,38%,13,35,0.26,0,0,0,120,71%,0,72,126,123,57,0,479,926,1066,297,2.2,316,413,0,2,14,0.1,2689,19.92,21,0.16,322,21%,17,117,0.87,0,0,0,0,0,0,0,0,0,0,14,1,153,60
Andriy Yarmolenko,7,West-Ham-United,Forward,Ukraine,30,34,10,16,7,0.21,0,0,7,0,0,38,17,45%,1,3,0.09,0,0,0,18,0,0,8,8,7,3,0,0,0,0,0,0,0,0,0,0,1,0.03,626,18.41,7,0.21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,9
Jarrod Bowen,20,West-Ham-United,Forward,England,23,22,4,15,1,0.05,0,0,1,0,0,32,7,22%,2,3,0.14,0,0,0,24,0,0,14,19,4,1,0,0,0,0,0,0,0,0,0,0,4,0.18,328,14.91,4,0.18,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
Sébastien Haller,22,West-Ham-United,Forward,France,26,34,9,18,7,0.21,0,5,2,0,0,58,28,48%,0,6,0.18,0,0,0,22,0,0,10,8,26,22,0,0,0,0,0,0,0,0,0,0,1,0.03,779,22.91,2,0.06,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,19
Xande Silva,32,West-Ham-United,Forward,Portugal,23,1,0,1,0,1,0,0,0,0,0,2,0,2%,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Longelo,56,West-Ham-United,Forward,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Fabianski,1,West-Ham-United,Goalkeeper,Poland,35,246,91,104,0,0,0,0,0,0,0,0,0,0,0,0,0,63,349,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0.01,6328,25.72,0,0,0,0,0,1895,7.7,807,3.28,6,0.02,155,357,101,123,1260,2016,4,1,6,0
David Martin,25,West-Ham-United,Goalkeeper,England,34,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,22.2,0,0,0,0,0,40,8,15,3,0,0,1,1,0,0,12,44,1,0,0,0
Darren Randolph,35,West-Ham-United,Goalkeeper,Ireland,33,31,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,839,27.06,0,0,0,0,0,309,9.97,85,2.74,1,0.03,6,33,8,15,97,262,1,0,0,0
Nathan Trott,34,West-Ham-United,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,8,West-Ham-United,Midfielder,Brazil,27,63,20,32,10,0.16,0,7,3,0,0,81,33,41%,3,5,0.08,0,0,0,136,60%,0,25,63,22,8,0,339,366,387,139,2.21,16,45,0,0,8,0.13,2567,40.75,14,0.22,155,28%,27,127,2.02,0,0,0,0,0,0,0,0,0,0,4,0,44,7
Manuel Lanzini,10,West-Ham-United,Midfielder,Argentina,27,122,39,49,20,0.16,1,15,4,2,1,195,61,31%,2,11,0.09,0,0,0,123,67%,0,56,118,30,7,0,682,533,513,256,2.1,20,61,0,1,13,0.11,5096,41.77,18,0.15,257,25%,24,136,1.11,0,0,0,0,0,0,0,0,0,0,19,0,50,20
Robert Snodgrass,11,West-Ham-United,Midfielder,Scotland,33,160,43,78,26,0.16,2,1,23,2,6,250,88,35%,7,16,0.1,0,0,0,265,72%,0,78,106,105,36,0,623,864,1119,154,0.96,158,271,0,0,23,0.14,4715,29.47,35,0.22,1090,27%,36,135,0.84,0,0,0,0,0,0,0,0,0,0,30,0,199,27
Mark Noble,16,West-Ham-United,Midfielder,England,33,383,130,158,46,0.12,0,44,2,27,2,332,114,34%,7,3,0.01,0,0,0,860,70%,0,91,566,264,71,0,2330,1607,1534,243,0.63,99,131,0,3,35,0.09,17862,46.64,35,0.09,958,32%,105,1484,3.87,0,0,0,0,0,0,0,0,0,0,81,5,380,27
Pablo Fornals,18,West-Ham-United,Midfielder,Spain,24,38,10,19,2,0.05,0,2,0,0,0,37,11,30%,1,2,0.05,0,0,0,47,60%,0,10,26,8,3,0,160,92,158,17,0.45,10,49,0,0,5,0.13,893,23.5,4,0.11,63,16%,6,41,1.08,0,0,0,0,0,0,0,0,0,0,3,0,19,7
Jack Wilshere,19,West-Ham-United,Midfielder,England,28,182,87,52,8,0.04,1,2,5,0,0,140,50,36%,10,12,0.07,0,0,0,217,74%,0,43,153,53,12,0,915,926,793,339,1.86,59,60,0,1,18,0.1,7494,41.18,32,0.18,239,18%,156,364,2,0,0,0,0,0,0,0,0,0,0,36,2,169,10
Declan Rice,41,West-Ham-United,Midfielder,England,21,101,33,44,3,0.03,1,2,0,0,0,59,14,24%,3,3,0.03,0,0,0,254,57%,0,15,160,180,83,0,681,489,362,79,0.78,141,115,0,1,3,0.03,3942,39.03,2,0.02,39,31%,4,275,2.72,0,0,0,0,0,0,0,0,0,0,11,0,64,3
Josh Cullen,33,West-Ham-United,Midfielder,Ireland,24,3,2,0,0,3,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1.33,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Coventry,54,West-Ham-United,Midfielder,Ireland,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Boly,15,Wolverhampton-Wanderers,Defender,France,29,60,24,18,4,0,3,0,0,0,0,0,0,0,0,0,0,20,59,0.98,147,61%,1,6,116,285,176,0,336,425,214,22,0.37,234,95,0,0,1,0.02,2779,46.32,5,0.08,2,2%,2,129,2.15,0,0,0,0,0,0,0,0,0,0,3,2,55,4
Conor Coady,16,Wolverhampton-Wanderers,Defender,England,27,79,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,89,1.13,71,63%,3,0,62,251,128,2,504,160,116,7,0.09,68,50,3,2,0,0,3617,45.78,2,0.03,0,0%,7,545,6.9,0,0,0,0,0,0,0,0,0,0,10,0,28,0
Jonny,19,Wolverhampton-Wanderers,Defender,Spain,26,68,27,19,3,0,0,3,0,0,0,0,0,0,1,0,0,14,74,1.09,170,58%,0,18,113,82,35,0,329,367,382,62,0.91,74,102,0,2,3,0.04,2162,31.79,3,0.04,100,18%,2,53,0.78,0,0,0,0,0,0,0,0,0,0,10,0,57,7
Ruben Vinagre,29,Wolverhampton-Wanderers,Defender,Portugal,21,34,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0.53,40,60%,0,2,26,31,14,0,102,107,116,35,1.03,16,28,0,0,0,0,556,16.35,3,0.09,83,19%,1,14,0.41,0,0,0,0,0,0,0,0,0,0,2,0,19,1
Maximilian Kilman,49,Wolverhampton-Wanderers,Defender,England,23,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4,50%,0,0,4,7,3,0,9,17,11,1,0.25,12,10,0,0,0,0,101,25.25,0,0,0,0%,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Oskar Buur,59,Wolverhampton-Wanderers,Defender,Denmark,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,14,14,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maral,5,Wolverhampton-Wanderers,Defender,Brazil,31,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,50%,0,0,2,3,2,0,4,11,5,2,1,6,3,0,0,0,0,37,18.5,0,0,1,1%,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Ki-Jana Hoever,2,Wolverhampton-Wanderers,Defender,Netherlands,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Neto,7,Wolverhampton-Wanderers,Forward,Portugal,20,31,14,7,3,0.1,0,1,2,0,0,19,6,32%,0,3,0.1,0,0,0,11,0,0,7,9,3,0,0,0,0,0,0,0,0,0,0,0,4,0.13,399,12.87,5,0.16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,5
Raul Jiménez,9,Wolverhampton-Wanderers,Forward,Mexico,29,78,32,23,32,0.41,9,19,4,6,0,237,82,35%,7,20,0.26,0,0,0,51,0,0,53,43,75,57,0,0,0,0,0,0,0,0,0,0,13,0.17,2108,27.03,26,0.33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,81,52
Adama Traoré,37,Wolverhampton-Wanderers,Forward,Spain,24,105,27,47,5,0.05,0,5,0,0,0,78,21,27%,2,6,0.06,0,0,0,86,0,0,26,27,26,13,0,0,0,0,0,0,0,0,0,0,12,0.11,1434,13.66,13,0.12,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,80,13
Fábio Silva,17,Wolverhampton-Wanderers,Forward,Portugal,18,1,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo Campana,30,Wolverhampton-Wanderers,Forward,Ecuador,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rui Patricio,11,Wolverhampton-Wanderers,Goalkeeper,Portugal,32,77,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,21,89,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1530,19.87,0,0,0,0,0,550,7.14,195,2.53,2,0.03,13,32,17,5,244,581,0,0,0,0
John Ruddy,21,Wolverhampton-Wanderers,Goalkeeper,England,33,119,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,25,190,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2580,21.68,0,0,0,0,0,736,6.18,389,3.27,2,0.02,51,175,76,69,484,1098,3,1,1,0
Ruben Neves,8,Wolverhampton-Wanderers,Midfielder,Portugal,23,75,30,23,6,0.08,0,6,0,2,2,137,26,19%,2,0,0,0,0,0,139,47%,0,55,131,77,30,0,601,263,290,33,0.44,60,62,0,0,5,0.07,4024,53.65,7,0.09,61,21%,19,440,5.87,0,0,0,0,0,0,0,0,0,0,17,0,66,0
Daniel Podence,10,Wolverhampton-Wanderers,Midfielder,Portugal,24,11,5,2,1,0.09,1,0,0,0,0,12,3,25%,0,0,0,0,0,0,7,57%,0,4,2,1,0,0,17,28,30,10,0.91,0,11,0,0,2,0.18,143,13,4,0.36,9,44%,2,6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,6,3
Romain Saiss,27,Wolverhampton-Wanderers,Midfielder,Morocco,30,54,24,16,5,0.09,3,1,1,0,0,38,15,39%,1,6,0.11,0,0,0,97,68%,0,6,87,187,101,0,276,326,225,13,0.24,186,106,0,0,1,0.02,2453,45.43,4,0.07,18,17%,1,208,3.85,0,0,0,0,0,0,0,0,0,0,17,1,72,2
João Moutinho,28,Wolverhampton-Wanderers,Midfielder,Portugal,34,78,32,23,2,0.03,0,1,1,0,1,40,9,23%,1,0,0,0,0,0,210,52%,0,10,91,59,20,0,530,340,405,28,0.36,43,70,0,0,14,0.18,3778,48.44,16,0.21,422,31%,10,281,3.6,0,0,0,0,0,0,0,0,0,0,11,0,95,3
Leander Dendoncker,32,Wolverhampton-Wanderers,Midfielder,Belgium,25,59,26,15,6,0.1,1,3,2,0,0,37,15,41%,2,8,0.14,0,0,0,124,47%,0,6,61,92,61,0,246,328,271,28,0.47,158,138,0,1,0,0,1966,33.32,2,0.03,16,31%,0,81,1.37,0,0,0,0,0,0,0,0,0,0,6,0,43,1
Vitinha,20,Wolverhampton-Wanderers,Midfielder,Portugal,20,1,1,0,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meritan Shabani,57,Wolverhampton-Wanderers,Midfielder,Germany,21,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
