Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Jamaal Lascelles,6,Newcastle-United,Defender,England,26,109,34,48,6,0,6,0,0,0,0,0,0,0,0,0,0,30,123,1.13,90,54%,5,3,123,645,364,2,546,489,275,15,0.14,343,171,0,4,1,0.01,3699,33.94,2,0.02,5,5%,2,237,2.17,0,0,0,0,0,0,0,0,0,0,16,1,69,3
Emil Krafth,17,Newcastle-United,Defender,Sweden,26,17,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,1.35,18,67%,0,1,8,40,22,0,43,36,28,4,0.24,8,9,0,0,1,0.06,329,19.35,1,0.06,20,5%,0,10,0.59,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Federico Fernández,18,Newcastle-United,Defender,Argentina,31,170,55,72,4,0,2,1,0,0,0,0,0,0,2,0,0,43,235,1.38,254,73%,0,13,305,1070,633,0,756,777,578,24,0.14,399,295,4,3,7,0.04,7218,42.46,5,0.03,48,19%,2,523,3.08,0,0,0,0,0,0,0,0,0,0,25,0,135,8
Javier Manquillo,19,Newcastle-United,Defender,Spain,26,92,25,45,1,0,0,1,0,0,0,0,0,0,0,0,0,18,109,1.18,171,67%,0,2,100,221,95,0,310,359,299,47,0.51,88,85,0,0,5,0.05,2235,24.29,4,0.04,168,14%,1,79,0.86,0,0,0,0,0,0,0,0,0,0,15,0,72,11
DeAndre Yedlin,22,Newcastle-United,Defender,United States,27,103,29,48,2,0,1,1,0,0,0,0,0,0,0,0,0,19,121,1.17,169,64%,2,5,107,269,110,3,385,398,390,60,0.58,109,134,2,0,5,0.05,2500,24.27,6,0.06,219,23%,3,90,0.87,0,0,0,0,0,0,0,0,0,0,16,1,102,15
Jamal Lewis,15,Newcastle-United,Defender,Northern Ireland,22,30,4,24,1,0,0,0,1,0,0,0,0,0,0,0,0,3,59,1.97,53,70%,0,2,27,57,20,0,150,122,107,34,1.13,9,24,0,0,0,0,1101,36.7,1,0.03,48,25%,1,33,1.1,0,0,0,0,0,0,0,0,0,0,5,0,16,2
Andy Carroll,7,Newcastle-United,Forward,England,31,232,81,92,53,0.23,24,6,23,2,1,534,172,32%,12,49,0.21,0,0,0,103,0,0,107,74,323,195,0,0,0,0,0,0,0,0,0,0,22,0.09,4726,20.37,28,0.12,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,321,77
Joelinton,9,Newcastle-United,Forward,Brazil,24,40,12,17,2,0.05,0,1,1,0,0,51,15,29%,1,8,0.2,0,0,0,36,0,0,13,11,31,20,0,0,0,0,0,0,0,0,0,0,2,0.05,836,20.9,3,0.08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,22
Allan Saint-Maximin,10,Newcastle-United,Forward,France,23,28,11,9,3,0.11,1,2,0,0,0,47,21,45%,2,4,0.14,0,0,0,15,0,0,14,9,5,1,0,0,0,0,0,0,0,0,0,0,4,0.14,458,16.36,8,0.29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3
Dwight Gayle,12,Newcastle-United,Forward,England,29,119,28,64,25,0.21,2,16,7,2,2,160,59,37%,4,23,0.19,0,0,0,61,0,0,41,26,41,26,0,0,0,0,0,0,0,0,0,0,6,0.05,1201,10.09,6,0.05,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,77,34
